timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,heading,db,frequency
18054,0.01,0.87,-0.00,-16.13,-2.89,4.48,164.5,-385.8,281.5,292.8,52.7,906.2
18153,-0.02,0.96,-0.12,-12.78,-3.32,-2.59,174.8,-385.8,259.8,293.1,52.4,2312.5
18253,0.05,1.01,0.09,-12.66,-4.47,-7.20,177.4,-357.1,324.9,293.8,52.0,906.2
18353,0.06,1.14,0.01,-8.12,-1.93,-4.65,172.2,-380.5,251.2,293.9,52.1,15.6
18453,-0.10,1.32,0.22,-13.37,-8.17,-5.69,174.8,-375.3,277.2,294.1,51.4,593.8
18553,0.28,0.71,-0.13,-10.71,-4.57,2.01,187.8,-375.3,333.5,294.6,52.1,31.2
18653,0.04,0.88,-0.14,-9.55,-4.05,-2.14,172.2,-383.1,342.2,294.5,51.9,515.6
18753,0.16,0.90,-0.09,-2.15,2.92,0.07,182.6,-364.9,381.2,294.9,52.6,125.0
18853,0.01,1.17,-0.09,-1.66,1.95,-0.50,182.6,-385.8,363.9,295.0,52.0,1390.6
18953,0.03,1.13,-0.19,-4.34,-3.33,-6.67,190.3,-367.5,337.9,295.5,51.7,62.5
19053,-0.07,0.90,-0.12,-1.67,-7.58,-5.25,195.5,-391.0,303.2,295.7,52.0,1734.4
19153,-0.11,0.88,0.05,-5.95,-5.32,-8.17,205.9,-393.6,290.2,296.1,52.2,46.9
19253,-0.01,0.92,-0.13,0.48,-1.32,-0.40,198.1,-375.3,320.5,296.4,52.4,78.1
19353,0.30,0.75,0.05,-1.40,0.88,-2.60,182.6,-375.3,281.5,296.3,52.0,609.4
19453,-0.18,1.26,0.15,1.34,8.62,-3.94,172.2,-375.3,342.2,296.0,52.4,31.2
19553,0.09,1.22,-0.06,-2.06,12.60,-5.91,174.8,-393.6,307.5,295.6,43.5,93.8
19653,0.02,0.93,-0.12,-3.78,18.79,-0.72,136.0,-388.4,285.8,294.3,35.2,31.2
19753,-0.01,0.90,-0.14,-6.10,19.27,-6.12,125.7,-377.9,298.9,293.1,36.7,93.8
19853,0.07,0.81,-0.07,0.66,29.24,-0.59,117.9,-367.5,311.9,292.1,34.9,31.2
19953,-0.02,1.01,-0.01,4.13,30.82,-1.78,107.6,-396.2,272.8,290.7,35.8,31.2
20053,-0.02,1.30,-0.04,0.24,27.25,-0.38,110.1,-401.4,307.5,289.6,36.6,31.2
20153,-0.18,0.96,-0.55,1.65,29.50,6.10,125.7,-380.5,268.5,289.4,36.4,31.2
20253,-0.19,0.78,0.07,-0.48,25.87,0.25,123.1,-391.0,246.8,289.0,35.8,31.2
