timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,heading,db,frequency
46177,0.09,1.13,0.21,-27.78,-2.92,5.04,-34.3,-288.4,-16.1,269.8,52.3,2546.9
46276,0.11,1.01,0.31,-14.10,-13.29,11.12,-20.6,-280.0,-62.4,269.0,52.3,1093.8
46376,0.14,0.90,0.18,2.79,6.34,12.66,4.1,-299.7,-33.9,269.4,52.4,234.4
46476,0.06,1.00,0.24,0.49,8.37,13.23,6.9,-282.8,-76.7,269.8,52.2,2359.4
46576,0.05,1.11,0.29,-1.36,23.84,12.81,20.6,-265.9,-80.3,270.7,52.0,78.1
46676,0.10,1.07,-0.08,-2.06,33.48,15.01,26.0,-277.2,-123.1,271.6,52.2,4281.2
46776,-0.03,0.89,0.21,-3.40,42.72,12.74,42.5,-268.7,-108.8,273.1,52.0,375.0
46876,0.00,1.02,0.20,0.62,53.02,11.12,58.9,-251.8,-130.2,275.1,52.7,62.5
46976,0.01,0.92,0.17,-0.74,57.55,4.08,78.1,-260.3,-51.7,277.4,52.6,62.5
47076,0.00,0.94,0.22,-17.00,48.57,6.45,102.8,-249.0,-94.6,280.4,52.0,906.2
47176,0.00,1.05,0.25,-12.73,55.89,10.07,105.5,-280.0,-55.3,282.5,52.0,2671.9
47276,0.17,1.14,0.35,-10.41,66.36,12.01,122.0,-268.7,-76.7,284.9,51.8,171.9
47376,0.23,0.89,0.08,-10.38,72.88,13.15,138.4,-263.1,-30.3,287.4,51.5,718.8
47476,-0.03,0.95,0.13,-7.68,79.28,16.12,154.9,-260.3,16.1,290.1,51.8,46.9
47576,0.18,0.87,0.07,-6.27,82.16,18.03,146.7,-285.6,16.1,291.5,52.0,1093.8
47676,0.04,1.01,0.24,-4.63,81.29,16.49,149.4,-265.9,66.0,293.1,51.6,3984.4
47776,0.14,1.13,0.12,-4.08,82.99,14.75,141.2,-313.7,87.4,293.3,51.1,203.1
47876,0.22,1.14,0.39,-4.47,88.28,13.87,133.0,-282.8,123.1,293.7,52.3,1359.4
47976,0.11,0.87,0.10,-4.99,92.22,16.22,108.3,-291.2,158.8,293.0,51.7,15.6
48076,0.16,1.06,0.13,-1.28,94.30,16.55,108.3,-285.6,176.6,292.6,51.5,1421.9
48176,0.15,0.97,0.16,-1.20,95.34,16.06,91.8,-291.2,187.3,291.6,51.8,812.5
48276,0.06,0.96,0.17,0.60,94.96,14.78,69.9,-282.8,219.5,290.0,52.6,46.9
48376,-0.03,0.98,0.24,0.70,94.62,13.11,58.9,-280.0,180.2,288.4,51.8,5328.1
48476,0.16,1.24,0.17,-2.95,97.16,9.28,31.5,-313.7,158.8,285.9,52.9,46.9
48576,0.28,0.84,0.25,-3.44,98.75,8.02,12.3,-294.0,141.0,283.2,52.3,46.9
48676,-0.03,0.94,0.04,-1.79,99.33,9.30,-9.6,-302.5,148.1,280.2,52.0,2687.5
48776,0.12,0.98,0.15,0.56,100.56,12.30,-23.3,-282.8,194.5,277.2,52.2,46.9
48876,-0.02,1.06,0.20,0.08,95.71,12.19,-72.6,-277.2,137.4,272.8,52.5,62.5
48976,0.11,0.99,0.20,0.52,92.72,11.39,-61.7,-288.4,169.5,269.8,52.7,62.5
49076,0.11,1.16,-0.16,-1.66,93.27,12.38,-83.6,-299.7,169.5,266.8,52.8,62.5
49176,0.04,0.94,0.07,-3.63,91.37,11.03,-94.6,-277.2,155.2,263.6,52.7,62.5
49276,0.17,1.08,-0.05,1.54,90.50,15.39,-94.6,-294.0,151.7,261.3,52.5,296.9
49376,0.15,0.84,0.19,5.07,87.30,17.24,-94.6,-277.2,105.3,259.3,52.9,46.9
49476,-0.03,1.00,0.03,5.62,81.58,13.41,-100.1,-291.2,66.0,257.7,51.9,125.0
49576,-0.01,0.98,0.18,5.78,77.84,12.40,-108.3,-299.7,66.0,256.1,52.1,62.5
49676,0.15,1.24,-0.01,7.89,76.17,8.80,-89.1,-294.0,55.3,255.5,52.0,2000.0
49776,0.33,0.84,0.13,7.44,75.95,3.94,-86.4,-288.4,55.3,255.1,52.9,62.5
49876,-0.05,0.97,-0.04,8.63,76.45,4.01,-83.6,-302.5,33.9,255.0,52.3,62.5
49976,0.18,0.92,0.11,11.07,76.85,3.17,-86.4,-291.2,19.6,254.7,51.9,31.2
50076,0.11,1.08,0.06,9.19,73.49,-0.18,-69.9,-285.6,66.0,255.0,52.7,78.1
50176,-0.01,1.07,0.16,7.46,71.67,-2.34,-56.2,-316.6,26.8,256.0,52.6,46.9
50276,0.26,1.26,0.15,5.62,69.13,-5.22,-56.2,-299.7,41.0,256.7,52.4,203.1
50376,0.10,0.78,0.07,-3.49,68.81,-9.45,-39.7,-288.4,-48.2,257.8,51.5,3187.5
50476,-0.04,0.96,0.05,-2.04,69.84,-3.03,-12.3,-271.5,-41.0,259.7,52.8,93.8
50576,0.15,0.96,0.16,-1.17,69.32,-1.17,-23.3,-277.2,-101.7,260.8,52.9,359.4
50676,0.07,0.96,0.15,-6.40,67.58,-1.21,-6.9,-274.3,-66.0,262.3,52.8,62.5
50776,-0.17,1.03,0.10,-7.53,66.41,1.64,20.6,-257.5,-66.0,264.8,52.0,203.1
50876,0.27,1.15,0.30,-11.11,72.71,-1.40,26.0,-268.7,-94.6,266.9,52.3,906.2
50976,0.16,0.85,0.24,-12.92,72.50,-1.14,50.7,-243.4,-87.4,269.9,52.6,31.2
51076,-0.07,1.05,-0.06,-11.34,76.70,2.29,78.1,-246.2,-91.0,273.4,52.6,31.2
51176,0.12,0.97,0.03,-11.22,78.05,4.49,91.8,-243.4,-87.4,276.9,53.4,78.1
51276,-0.09,1.03,0.33,-16.03,76.20,4.03,130.2,-240.6,-8.9,281.2,52.3,109.4
51376,-0.03,0.95,0.25,-9.65,69.74,6.32,108.3,-254.7,-87.4,283.6,52.7,125.0
51476,0.02,1.01,0.29,-11.16,67.10,5.82,130.2,-260.3,-91.0,286.2,52.0,1875.0
51576,-0.13,1.08,-0.13,-12.88,60.08,4.51,111.0,-240.6,-66.0,287.9,52.9,46.9
51676,-0.14,1.05,0.04,-10.52,57.20,6.71,130.2,-249.0,-51.7,289.8,51.8,62.5
51776,-0.04,0.87,0.26,-9.51,50.34,5.66,122.0,-240.6,-62.4,291.2,52.4,31.2
51876,0.01,1.03,0.10,-9.60,43.05,8.70,138.4,-260.3,-83.9,292.6,53.5,921.9
