timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,heading,db,frequency
31333,-0.05,0.98,0.09,-1.48,3.41,-1.15,130.8,-424.9,12.7,289.1,50.2,31.2
31432,-0.05,0.99,0.14,-3.48,2.37,-2.41,154.1,-411.8,56.0,289.4,52.0,1828.1
31532,-0.05,0.98,0.13,-3.16,-2.64,-2.39,148.9,-409.2,-9.0,289.5,50.8,46.9
31632,-0.08,0.98,0.14,-3.23,-3.27,-3.09,161.9,-409.2,90.7,289.9,49.3,62.5
31732,-0.15,1.08,0.12,-4.33,-4.57,-2.63,164.5,-406.6,73.4,290.3,48.3,375.0
31832,-0.18,1.07,0.19,-4.90,-7.82,-2.36,143.8,-385.8,86.4,290.4,49.7,375.0
31932,-0.02,1.18,-0.00,-4.05,-6.74,0.68,133.4,-401.4,56.0,290.0,50.7,62.5
32032,0.14,0.64,0.04,-4.83,-2.58,2.15,128.3,-375.3,60.4,289.7,50.5,62.5
32132,-0.06,0.99,0.13,0.24,-2.72,-0.38,148.9,-406.6,-9.0,289.8,51.1,1375.0
32232,-0.00,0.93,0.09,0.18,1.83,-0.72,141.2,-406.6,77.7,289.7,49.5,62.5
32332,0.01,0.99,0.12,0.35,3.42,0.12,143.8,-388.4,47.3,289.8,50.7,62.5
32432,-0.04,1.38,0.09,0.06,3.20,1.92,143.8,-396.2,64.7,289.8,50.7,187.5
32532,-0.08,0.82,-0.23,-5.11,8.04,4.31,138.6,-383.1,38.7,289.8,50.2,1500.0
32632,-0.16,0.80,0.15,-5.23,9.19,3.35,123.1,-375.3,-9.0,289.5,50.4,187.5
32732,0.11,1.02,-0.03,-2.12,11.27,3.40,154.1,-396.2,64.7,289.9,50.7,218.8
32832,-0.03,0.85,0.21,-0.55,16.67,3.81,133.4,-377.9,-0.4,289.8,50.9,109.4
32932,0.06,1.29,0.14,-3.16,19.44,1.06,159.3,-391.0,25.7,290.3,51.1,234.4
33032,0.29,1.00,-0.30,-2.07,23.90,3.08,159.3,-370.1,-26.4,290.9,51.2,1593.8
33132,-0.08,0.82,0.00,-4.40,28.63,2.71,182.6,-377.9,30.0,291.8,52.0,1125.0
33232,0.23,0.90,-0.15,-3.81,36.44,0.29,203.3,-372.7,-4.7,293.2,51.7,1421.9
33332,-0.02,1.11,0.05,-2.30,40.39,0.08,218.8,-385.8,17.0,294.5,52.1,1125.0
33432,0.08,1.21,-0.05,-2.97,43.05,-1.04,229.1,-377.9,51.7,295.8,53.1,359.4
33532,-0.02,0.92,-0.28,0.79,42.64,-2.23,252.4,-391.0,-9.0,297.2,52.1,46.9
33632,-0.08,0.88,-0.01,1.24,44.87,-1.03,247.3,-375.3,-4.7,298.5,51.8,93.8
33732,0.10,0.96,-0.11,-0.95,47.06,-1.01,236.9,-377.9,12.7,299.2,51.9,312.5
33832,-0.14,0.86,0.12,-0.21,46.47,-3.53,262.8,-359.7,38.7,300.6,52.0,93.8
33932,-0.19,1.21,0.08,2.17,45.13,-3.01,257.6,-364.9,-35.0,301.5,52.5,93.8
34032,0.10,1.13,-0.37,0.35,38.45,-1.12,273.1,-372.7,-4.7,302.5,52.1,140.6
34132,0.09,0.84,-0.09,-2.77,35.60,-2.20,265.4,-367.5,-35.0,303.1,52.1,1343.8
34232,-0.01,0.98,-0.21,1.24,30.44,2.36,275.7,-362.3,8.3,304.0,52.0,2562.5
34332,0.01,0.88,0.11,-1.15,27.29,2.31,280.9,-349.2,30.0,304.9,52.7,1265.6
34432,0.11,1.34,-0.28,0.19,23.05,2.58,286.1,-372.7,64.7,305.4,52.5,1312.5
34532,-0.15,1.08,-0.02,0.56,16.42,1.53,301.6,-377.9,38.7,306.1,52.1,406.2
34632,-0.25,0.83,-0.03,-1.37,10.26,1.27,283.5,-372.7,21.3,306.3,52.1,203.1
34732,-0.06,0.94,-0.19,-0.07,3.93,1.80,286.1,-380.5,43.0,306.4,52.7,484.4
34832,-0.04,0.91,0.09,-1.19,0.13,1.86,293.8,-370.1,-4.7,306.8,52.4,312.5
34932,0.01,0.87,0.56,4.13,-5.96,3.75,291.2,-364.9,-30.7,307.2,52.3,3078.1
35032,-0.19,1.08,0.04,7.21,-9.80,3.89,291.2,-377.9,-43.7,307.3,52.1,2500.0
35132,0.05,0.69,-0.14,8.01,-10.94,8.07,280.9,-393.6,-100.1,306.9,52.8,671.9
35232,-0.21,1.09,-0.08,9.11,-12.33,6.30,270.5,-372.7,-82.7,306.7,53.0,703.1
35332,0.01,0.88,0.00,9.51,-9.86,5.58,317.1,-396.2,-9.0,307.1,52.6,250.0
35432,-0.02,1.21,-0.09,10.71,-6.88,4.06,309.3,-393.6,-9.0,307.3,52.3,93.8
35532,-0.01,1.20,-0.03,7.87,-4.00,2.44,301.6,-385.8,-13.4,307.5,53.1,187.5
35632,-0.04,1.06,-0.48,4.79,1.40,2.59,335.2,-383.1,-4.7,308.2,52.6,171.9
35732,-0.20,0.85,-0.01,7.99,7.33,4.71,319.7,-362.3,38.7,308.9,52.0,1125.0
35832,0.10,0.86,-0.08,7.32,10.64,6.22,314.5,-359.7,-17.7,309.3,52.6,234.4
35932,-0.05,0.85,0.11,4.88,17.32,4.24,301.6,-367.5,4.0,309.3,52.4,156.2
36032,-0.04,1.31,-0.07,0.77,21.91,-5.49,304.2,-370.1,12.7,309.3,52.7,156.2
36132,0.07,1.17,0.04,2.47,22.17,-4.29,324.9,-346.6,-4.7,310.1,51.9,390.6
36232,0.29,0.68,-0.21,-1.18,26.23,-2.46,311.9,-354.4,82.0,310.4,52.3,1390.6
36332,-0.35,0.96,-0.01,1.18,25.96,-5.50,327.4,-341.4,30.0,311.0,52.1,1531.2
36432,0.09,0.77,-0.03,-1.93,28.41,-6.24,340.4,-362.3,95.0,311.5,52.3,2359.4
36532,-0.03,1.22,-0.15,6.41,29.93,-1.70,337.8,-372.7,60.4,311.6,52.3,2296.9
36632,-0.01,1.22,-0.23,5.50,24.54,-2.85,335.2,-377.9,108.1,311.6,52.1,31.2
36732,-0.14,0.94,-0.34,-1.07,21.96,-3.84,343.0,-377.9,99.4,311.7,52.3,31.2
36832,-0.07,0.90,-0.14,2.21,18.29,-2.58,314.5,-396.2,77.7,311.1,52.3,1078.1
36932,0.10,0.84,0.00,-2.03,15.02,-3.79,304.2,-383.1,77.7,310.5,52.4,1640.6
37032,-0.00,1.03,0.09,-0.82,14.00,-0.48,306.8,-396.2,30.0,310.0,52.8,1062.5
37132,-0.46,1.10,0.31,-3.59,9.53,-1.39,317.1,-377.9,47.3,310.0,51.7,937.5
37232,0.11,1.23,-0.44,0.90,3.61,6.17,296.4,-385.8,60.4,309.5,52.5,312.5
37332,0.08,0.64,-0.05,-5.09,1.31,5.43,255.0,-401.4,30.0,308.1,52.2,1234.4
37432,-0.11,1.10,-0.26,1.37,-1.67,7.62,273.1,-396.2,30.0,307.4,52.1,31.2
37532,0.03,0.92,0.17,-3.75,-0.84,3.33,275.7,-391.0,47.3,306.9,52.1,1406.2
37632,0.07,1.14,-0.18,0.67,1.73,4.24,275.7,-406.6,25.7,306.4,52.4,1828.1
37732,0.21,1.08,0.28,5.24,0.89,3.68,280.9,-383.1,82.0,306.4,52.4,1203.1
37832,-0.19,0.90,-0.08,-1.13,5.01,1.62,265.4,-393.6,73.4,305.9,52.7,1390.6
37932,0.21,0.91,-0.22,0.98,10.58,3.36,260.2,-385.8,56.0,305.5,52.1,687.5
38032,0.06,0.84,0.15,2.81,12.24,4.16,288.6,-391.0,60.4,305.7,52.3,250.0
38132,-0.08,1.19,-0.02,0.84,19.53,-0.98,291.2,-375.3,60.4,306.1,51.9,500.0
38232,0.07,1.32,-0.12,-1.14,26.09,-7.96,283.5,-364.9,77.7,306.5,52.2,1687.5
38332,0.32,0.77,-0.12,1.87,34.25,-3.35,304.2,-380.5,82.0,306.9,51.9,1234.4
38432,-0.17,0.95,-0.26,0.37,40.66,-6.54,330.0,-385.8,147.1,307.6,52.2,2109.4
38532,0.17,0.90,-0.10,-0.34,46.16,-7.06,311.9,-380.5,233.8,308.0,52.5,1265.6
38632,-0.20,1.25,-0.20,-5.13,48.87,-6.13,322.3,-364.9,129.7,308.7,52.3,1281.2
38732,0.01,1.01,0.08,-12.92,50.17,-7.14,311.9,-359.7,121.1,309.1,52.2,2234.4
38832,-0.05,1.20,-0.48,-8.42,51.72,-3.56,306.8,-380.5,160.1,309.1,52.3,1375.0
38932,-0.10,0.83,0.08,-8.14,49.19,-4.14,311.9,-391.0,147.1,309.0,51.8,1281.2
39032,0.01,0.90,-0.01,-7.42,45.76,-3.25,327.4,-372.7,151.4,309.4,52.5,718.8
39132,-0.14,0.92,0.15,-5.40,40.81,-1.03,317.1,-370.1,129.7,309.7,52.2,1171.9
39232,-0.25,1.12,0.18,-9.47,33.28,-3.55,335.2,-372.7,164.4,310.1,52.8,1296.9
39332,-0.17,1.13,-0.24,-3.91,21.83,2.12,322.3,-393.6,199.1,310.0,52.3,1250.0
39432,0.21,0.86,-0.15,-8.83,11.74,3.15,291.2,-398.8,212.1,309.2,52.3,1359.4
39532,-0.23,1.15,-0.27,-4.35,-0.60,7.34,306.8,-398.8,212.1,308.9,52.4,1421.9
39632,0.02,0.79,0.03,-1.16,-9.53,5.75,317.1,-391.0,168.8,308.9,52.2,1312.5
39732,0.19,1.20,-0.22,5.85,-17.24,7.97,319.7,-393.6,77.7,308.9,52.2,46.9
39832,0.14,1.00,0.02,1.56,-24.44,4.58,330.0,-377.9,108.1,309.4,52.5,1500.0
39932,-0.20,1.26,-0.30,4.12,-27.32,4.83,324.9,-396.2,69.0,309.4,52.7,1500.0
