timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,heading,db,frequency
7843,-0.10,1.04,-0.33,-1.27,104.44,-40.55,57.4,-372.5,189.7,274.3,46.1,1015.6
7943,0.02,0.95,-0.06,-7.27,106.23,-51.61,57.4,-381.0,164.7,275.1,51.6,4078.1
8043,-0.07,1.10,-0.28,-20.86,85.80,-29.61,68.3,-375.4,196.8,276.2,47.5,890.6
8143,0.08,0.96,-0.06,-26.73,56.82,-14.42,40.9,-381.0,186.1,276.2,38.1,62.5
8243,-0.05,0.94,-0.05,-30.16,38.20,-10.08,65.6,-375.4,161.2,276.9,36.2,31.2
8343,0.03,1.04,-0.01,-5.59,17.91,-11.40,60.1,-381.0,157.6,277.3,42.0,31.2
8443,0.02,1.08,-0.11,-11.54,0.63,-3.29,60.1,-381.0,179.0,277.7,36.0,62.5
8543,-0.01,1.18,-0.14,-15.14,1.79,-2.47,65.6,-381.0,129.0,278.1,37.2,46.9
8643,-0.17,0.89,-0.29,-17.48,2.71,-1.39,54.6,-372.5,139.7,278.1,36.9,46.9
8743,-0.01,0.85,0.03,-14.31,2.48,2.91,46.4,-386.6,136.2,277.9,37.3,31.2
8843,-0.13,0.88,-0.07,-6.14,4.57,0.30,35.4,-375.4,150.4,277.4,38.4,46.9
8943,0.01,0.99,-0.05,-4.57,4.19,0.79,49.2,-383.8,136.2,277.4,40.1,46.9
9043,-0.10,1.18,-0.08,-9.13,3.50,1.40,46.4,-372.5,118.3,277.3,41.3,156.2
9143,0.02,1.28,0.07,-11.88,0.84,0.95,38.2,-372.5,121.9,277.0,38.6,93.8
9243,-0.01,0.88,-0.09,-13.91,1.11,3.39,54.6,-355.7,125.5,277.4,40.7,78.1
9343,-0.08,0.91,0.05,-12.02,-0.63,3.49,54.6,-352.8,125.5,277.6,40.3,62.5
9443,0.02,0.80,0.03,-9.65,5.46,4.17,43.7,-350.0,71.9,277.5,38.0,62.5
9543,-0.02,1.10,0.01,-4.96,4.93,2.22,49.2,-350.0,121.9,277.6,40.7,46.9
9643,-0.15,1.11,0.00,-5.26,1.04,1.05,62.9,-364.1,100.5,278.1,40.7,78.1
9743,-0.26,0.92,-0.23,-1.31,-5.44,2.09,73.8,-375.4,129.0,278.7,40.9,171.9
9843,-0.04,0.82,0.00,-1.15,-8.83,2.63,57.4,-372.5,132.6,278.7,39.7,31.2
9943,0.02,0.91,-0.00,-2.24,-14.89,3.53,68.3,-378.2,114.8,279.0,42.6,31.2
10043,-0.03,1.15,0.03,-0.98,-18.10,7.29,32.7,-366.9,139.7,278.2,39.8,31.2
10143,0.16,1.16,0.00,1.03,-13.13,12.50,10.8,-389.4,82.6,276.9,42.5,31.2
10243,-0.19,0.73,-0.26,6.14,-18.83,9.45,19.0,-372.5,100.5,276.1,40.6,46.9
10343,0.12,1.02,-0.13,5.25,-17.15,7.57,65.6,-381.0,100.5,276.8,40.0,31.2
10443,0.05,0.81,-0.02,4.17,-19.56,6.35,46.4,-366.9,64.8,276.9,40.3,31.2
10543,0.06,1.09,0.09,4.43,-19.05,6.59,84.8,-389.4,89.8,278.0,40.9,31.2
10643,-0.00,1.13,-0.06,2.86,-18.13,5.41,62.9,-361.3,75.5,278.4,42.0,46.9
10743,-0.12,1.00,-0.33,-0.07,-12.72,3.14,79.3,-383.8,61.2,279.0,41.7,171.9
10843,0.07,0.84,0.07,-2.00,-9.32,2.69,93.0,-372.5,14.8,280.0,41.4,31.2
10943,-0.02,0.79,0.09,1.83,-4.42,2.89,82.0,-372.5,71.9,280.5,41.9,31.2
11043,0.09,0.99,-0.02,2.20,-1.34,-1.37,71.1,-364.1,50.5,280.6,41.7,31.2
11143,-0.05,1.21,-0.03,-0.47,-4.47,-6.04,65.6,-372.5,57.7,280.5,41.6,62.5
11243,-0.07,1.03,-0.05,-2.98,3.23,-3.92,79.3,-338.8,57.7,281.0,40.0,218.8
11343,0.16,0.91,-0.14,-1.04,8.43,-3.02,84.8,-338.8,36.3,281.6,41.1,31.2
11443,-0.05,0.66,-0.05,-0.07,8.70,-0.07,90.3,-364.1,100.5,282.1,41.9,46.9
11543,0.21,1.12,0.15,-1.37,9.65,0.07,98.5,-366.9,89.8,282.7,41.2,46.9
11643,-0.04,1.22,0.08,0.57,13.40,0.92,73.8,-336.0,82.6,282.6,41.3,46.9
11743,0.04,1.16,0.13,-4.02,18.93,-0.18,95.8,-381.0,39.8,282.9,42.4,78.1
11843,-0.05,1.07,-0.25,-5.27,17.33,1.81,82.0,-372.5,57.7,282.8,42.9,31.2
11943,-0.10,0.78,-0.01,-10.29,19.27,2.40,76.6,-381.0,64.8,282.5,42.8,31.2
12043,-0.11,0.80,-0.21,-10.81,16.46,5.43,54.6,-381.0,43.4,281.7,41.7,31.2
12143,0.24,0.90,0.37,-1.32,4.83,6.66,30.0,-389.4,47.0,280.2,44.0,31.2
12243,0.06,1.07,0.06,-0.38,-0.41,1.54,21.7,-403.5,93.4,278.8,51.7,906.2
12343,-0.15,1.36,-0.26,-10.30,0.58,6.29,49.2,-369.7,93.4,278.5,47.5,906.2
12443,0.13,0.73,-0.20,-9.09,3.02,5.21,27.2,-397.9,86.2,277.6,45.6,31.2
12543,0.05,0.78,-0.13,-4.92,0.83,3.97,27.2,-397.9,129.0,276.9,46.3,31.2
12643,-0.02,0.92,0.17,-5.45,0.00,2.03,35.4,-400.7,61.2,276.5,47.4,31.2
12743,-0.04,1.12,0.04,-1.59,-5.75,2.02,24.5,-378.2,93.4,275.9,45.3,31.2
12843,-0.04,0.99,-0.00,-7.46,-6.95,3.67,24.5,-403.5,93.4,275.5,46.7,46.9
12943,-0.05,0.99,-0.24,-5.71,-10.05,3.42,16.3,-386.6,32.7,274.8,44.8,46.9
13043,0.13,0.96,0.19,-3.11,-1.75,-1.40,-19.4,-386.6,54.1,273.3,43.7,15.6
13143,0.08,0.88,0.20,-7.95,11.78,-2.89,21.7,-381.0,14.8,273.3,43.5,31.2
13243,0.14,0.96,0.17,-11.32,17.69,2.70,16.3,-378.2,89.8,273.1,45.0,46.9
13343,0.17,1.13,0.11,-10.11,19.64,0.05,24.5,-378.2,14.8,273.2,46.0,109.4
13443,-0.02,0.92,0.10,-14.62,25.52,1.27,46.4,-372.5,22.0,274.0,43.6,62.5
13543,0.18,0.99,0.07,-10.68,41.17,3.31,65.6,-338.8,71.9,275.4,44.2,109.4
13643,0.12,0.85,0.03,-5.32,53.27,7.79,71.1,-383.8,100.5,276.4,44.6,62.5
13743,0.03,1.07,0.09,-5.38,59.34,8.59,71.1,-378.2,136.2,277.3,44.0,46.9
13843,-0.04,1.09,0.15,-0.71,67.19,8.00,79.3,-372.5,136.2,278.2,46.1,78.1
13943,-0.21,1.06,-0.18,-1.93,68.77,8.55,73.8,-378.2,118.3,278.8,47.0,46.9
14043,0.08,0.89,0.18,-3.29,65.17,11.10,57.4,-395.1,146.9,278.7,46.7,78.1
14143,-0.02,0.86,0.13,-2.82,61.09,12.09,68.3,-409.1,161.2,278.8,49.5,46.9
14243,0.09,0.95,0.13,2.06,56.32,11.15,65.6,-400.7,164.7,278.9,50.1,46.9
14343,0.01,1.10,0.13,6.72,48.40,9.75,68.3,-383.8,196.8,279.2,49.6,78.1
14443,0.12,1.18,0.23,7.32,36.70,8.52,51.9,-397.9,150.4,278.8,49.1,78.1
14543,0.16,0.92,0.02,3.27,25.82,11.33,51.9,-386.6,114.8,278.6,49.6,62.5
14643,0.07,0.93,-0.06,1.18,17.44,5.98,43.7,-406.3,200.4,278.1,50.1,78.1
14743,0.05,0.93,0.18,-1.79,18.76,4.41,51.9,-397.9,236.1,278.0,49.4,46.9
14843,0.09,1.00,0.16,-1.79,20.50,2.45,73.8,-406.3,193.3,278.4,49.8,93.8
14943,0.05,1.10,0.09,-4.46,25.21,1.42,73.8,-403.5,236.1,278.8,49.6,31.2
15043,-0.07,0.90,0.09,-5.65,32.70,3.22,54.6,-403.5,196.8,278.6,49.9,62.5
15143,0.19,1.02,0.23,-5.72,42.33,3.09,49.2,-428.8,264.6,278.2,49.9,46.9
15243,0.01,0.96,0.15,-6.96,52.59,5.74,43.7,-431.6,239.7,277.7,49.0,46.9
15343,0.15,0.96,0.19,-3.98,64.42,7.96,-0.2,-417.6,257.5,276.2,49.4,46.9
15443,-0.04,1.02,0.00,-3.16,78.31,6.91,-11.2,-411.9,336.0,274.6,50.1,46.9
15543,0.06,1.02,0.10,-6.89,92.81,5.02,-44.1,-409.1,278.9,272.5,50.3,78.1
15643,-0.04,1.03,-0.14,-7.24,104.11,11.05,-82.4,-428.8,239.7,269.8,50.8,890.6
15743,0.10,0.95,-0.07,-2.91,110.71,16.16,-112.6,-423.2,278.9,266.9,51.0,62.5
15843,0.04,1.02,-0.12,0.26,116.35,14.97,-164.7,-437.3,268.2,263.4,49.5,46.9
15943,-0.03,1.03,-0.00,2.26,120.92,14.23,-164.7,-411.9,229.0,260.3,49.7,46.9
16043,0.01,1.00,0.04,2.64,120.63,12.96,-148.2,-417.6,261.1,258.4,49.9,46.9
16143,0.00,1.01,0.02,-0.76,117.25,13.39,-156.4,-409.1,275.3,256.5,50.3,78.1
16243,-0.03,0.97,0.08,-2.20,112.90,11.49,-181.1,-420.4,211.1,254.5,50.0,46.9
16343,-0.15,1.07,0.16,-3.36,106.12,9.04,-175.6,-423.2,146.9,253.1,49.9,46.9
16443,-0.08,0.92,0.04,-4.69,96.55,10.59,-164.7,-428.8,168.3,252.3,49.6,46.9
16543,-0.10,0.96,0.10,-3.20,83.98,10.80,-175.6,-420.4,132.6,251.3,50.0,62.5
16643,-0.02,0.93,0.07,-4.59,74.37,8.34,-181.1,-431.6,143.3,250.5,50.5,78.1
16743,-0.05,1.02,0.26,-9.61,64.46,3.08,-170.2,-426.0,89.8,250.0,49.7,62.5
16843,-0.17,1.09,0.28,-11.40,56.85,5.51,-151.0,-411.9,114.8,250.0,49.7,78.1
16943,-0.01,1.22,0.39,-11.32,45.54,4.56,-137.3,-395.1,50.5,250.2,49.6,46.9
17043,-0.09,0.87,-0.04,-13.64,39.05,4.87,-151.0,-392.2,107.6,249.9,49.3,46.9
17143,-0.04,0.98,0.12,-8.11,36.09,8.73,-161.9,-383.8,114.8,249.4,50.1,62.5
17243,-0.09,0.83,0.04,-4.37,33.33,10.30,-172.9,-395.1,86.2,248.8,51.6,93.8
17343,0.00,0.97,0.27,-7.01,26.30,8.87,-170.2,-381.0,75.5,248.2,49.1,125.0
