timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,heading,db,frequency
8074,-0.13,1.04,0.20,2.91,-12.53,0.32,299.0,-362.3,25.7,308.4,49.7,1015.6
8173,0.01,1.09,0.22,0.44,-14.05,0.81,299.0,-385.8,64.7,308.3,52.3,1531.2
8273,0.10,1.15,0.28,-3.83,-15.29,3.00,299.0,-372.7,38.7,308.3,52.3,1453.1
8373,-0.14,0.96,0.08,-4.17,-13.61,4.66,273.1,-362.3,8.3,308.1,52.2,1734.4
8473,0.01,0.67,0.06,-3.85,-12.81,3.16,288.6,-362.3,64.7,308.2,52.5,2406.2
8573,-0.28,0.99,0.26,2.20,-12.85,2.23,288.6,-362.3,38.7,308.2,52.3,2234.4
8673,0.06,0.94,0.08,0.89,-13.67,0.52,280.9,-377.9,86.4,307.9,52.5,500.0
8773,-0.21,1.29,0.18,4.73,-9.97,-0.74,293.8,-362.3,95.0,308.1,52.9,875.0
8873,0.04,1.30,0.23,2.53,-7.05,-1.56,301.6,-370.1,112.4,308.4,52.6,2796.9
8973,0.29,0.75,-0.15,3.44,-1.72,-2.42,309.3,-375.3,129.7,308.6,52.7,1234.4
9073,0.07,0.78,-0.07,1.97,2.04,-0.42,301.6,-362.3,108.1,308.8,52.7,687.5
9173,-0.29,0.95,0.25,3.69,4.44,0.61,306.8,-354.4,138.4,309.2,52.7,281.2
9273,0.00,0.93,0.31,7.98,3.77,-1.67,311.9,-364.9,116.7,309.5,52.6,281.2
9373,-0.21,1.32,-0.06,3.17,-0.67,-3.37,322.3,-357.1,82.0,310.0,52.5,390.6
9473,-0.13,1.05,-0.35,1.68,-3.89,-0.96,327.4,-362.3,129.7,310.4,52.6,265.6
9573,-0.19,0.76,0.08,-3.14,-6.93,-0.09,304.2,-362.3,103.7,310.3,52.0,31.2
9673,-0.12,0.80,0.06,-1.79,-9.81,2.25,324.9,-351.8,116.7,310.8,52.5,31.2
