timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,heading,db,frequency
22440,-0.05,1.01,-0.04,0.17,94.40,11.57,66.8,-470.6,106.8,280.2,36.4,62.5
22540,-0.10,0.94,0.08,-4.53,93.47,6.84,82.3,-473.2,106.8,280.1,35.6,46.9
22640,-0.02,1.17,0.24,-5.96,93.51,5.07,82.3,-447.1,7.0,280.2,35.7,62.5
22740,0.30,0.90,0.06,-4.10,97.11,5.30,87.5,-444.5,20.0,280.4,35.7,46.9
22840,-0.14,0.99,-0.05,3.85,101.72,8.47,82.3,-452.3,20.0,280.4,36.6,109.4
22940,0.03,0.88,0.10,2.58,97.11,5.76,90.1,-452.3,72.1,280.5,36.8,62.5
23040,0.03,0.97,0.05,2.30,89.31,6.16,103.0,-439.3,72.1,281.1,36.7,62.5
23140,-0.11,1.11,0.12,2.19,77.87,4.65,105.6,-457.5,24.4,281.5,37.4,62.5
23240,0.09,1.16,0.17,0.07,64.10,2.48,113.4,-444.5,72.1,282.0,37.5,31.2
23340,-0.06,0.99,-0.40,-0.47,51.90,4.05,113.4,-447.1,11.4,282.5,37.8,46.9
23440,-0.13,0.92,0.04,-0.29,38.34,1.58,121.1,-439.3,7.0,283.1,37.4,62.5
23540,-0.08,0.94,0.12,3.38,27.15,1.79,110.8,-434.1,24.4,283.3,37.7,62.5
23640,0.07,0.89,0.01,4.68,20.25,2.49,108.2,-447.1,59.1,283.4,38.4,140.6
23740,-0.13,0.97,0.14,2.83,12.39,0.88,116.0,-431.4,98.1,283.7,38.6,140.6
23840,-0.07,1.09,0.10,-4.14,5.30,-3.80,126.3,-441.9,7.0,284.2,37.7,78.1
23940,-0.19,1.24,0.06,-3.13,2.54,-3.34,121.1,-415.8,-6.0,284.6,37.6,140.6
24040,0.24,0.79,-0.03,-4.25,1.14,-2.49,134.1,-431.4,2.7,285.1,36.9,156.2
24140,-0.30,1.07,0.10,-3.87,-1.26,-1.90,123.7,-423.6,41.7,285.3,37.6,140.6
24240,0.09,0.78,0.02,-1.17,-2.78,0.58,126.3,-428.8,28.7,285.6,37.2,31.2
24340,-0.04,1.01,0.07,0.52,-6.38,-1.08,113.4,-428.8,24.4,285.4,38.3,62.5
24440,-0.11,1.11,0.09,-0.15,-10.20,0.74,123.7,-431.4,-14.6,285.5,37.6,62.5
24540,-0.06,1.00,0.15,-3.61,-16.22,-0.10,90.1,-413.2,7.0,284.9,37.4,31.2
24640,-0.28,1.03,-0.18,-0.38,-24.74,0.63,77.2,-408.0,-23.3,284.0,36.8,46.9
24740,-0.20,0.91,0.16,-0.83,-39.44,0.61,59.0,-423.6,54.7,282.8,37.6,31.2
24840,-0.13,0.98,-0.13,3.44,-53.44,2.11,33.2,-431.4,63.4,281.1,39.7,31.2
24940,0.06,1.00,0.01,2.89,-63.57,2.39,15.1,-431.4,150.1,279.3,40.4,31.2
25040,0.07,1.02,0.18,0.90,-72.39,1.71,15.1,-428.8,128.5,277.9,40.0,1796.9
25140,-0.01,1.08,0.08,-1.73,-75.64,2.84,17.7,-408.0,132.8,276.8,38.9,937.5
25240,0.06,1.18,0.03,-2.37,-79.38,0.88,-8.2,-410.6,180.5,275.2,40.1,125.0
25340,0.15,0.87,-0.24,-4.53,-79.71,2.61,4.7,-413.2,223.9,274.3,40.0,125.0
25440,-0.04,1.04,0.08,-5.79,-77.94,0.43,2.1,-421.0,210.8,273.5,39.0,125.0
25540,0.13,0.82,0.16,-3.05,-71.95,1.38,-5.6,-421.0,176.2,272.6,39.7,46.9
